Provinsi;Harapan Lama Sekolah;Presentase Buta Huruf Usia >15;Presentase Buta Huruf Usia 15-44;Presentase Buta Huruf Usia >44;Rata-Rata Lama Sekolah Umur >15 Tahun
ACEH;14.13;2.06;0.13;6.82;9.36
SUMATERA UTARA;13.10;1.11;0.38;2.64;9.46
SUMATERA BARAT;13.94;1.15;0.19;2.87;8.97
RIAU;13.03;0.83;0.15;2.62;8.97
JAMBI;12.87;1.91;0.29;5.49;8.55
SUMATERA SELATAN;12.35;1.46;0.25;4.04;8.32
BENGKULU;13.57;2.10;0.27;6.19;8.82
LAMPUNG;12.46;3.11;0.16;8.81;8.10
KEP. BANGKA BELITUNG;11.83;2.21;0.70;5.53;8.04
KEP. RIAU;12.81;1.17;0.29;3.88;9.90
DKI JAKARTA;12.86;0.33;0.06;0.92;10.92
JAWA BARAT;12.42;1.77;0.26;4.71;8.41
JAWA TENGAH;12.57;6.61;0.36;15.38;7.70
DI YOGYAKARTA;15.42;5.36;0.20;12.38;9.62
JAWA TIMUR;13.09;8.18;1.01;18.27;7.78
BANTEN;12.78;2.43;0.21;7.97;8.79
BALI;13.21;7.10;0.40;17.58;8.84
NUSA TENGGARA BARAT;13.46;12.86;3.20;32.92;7.57
NUSA TENGGARA TIMUR;13.07;8.32;3.08;18.92;7.54
KALIMANTAN BARAT;12.50;7.52;1.76;20.20;7.49
KALIMANTAN TENGAH;12.45;0.92;0.23;2.64;8.52
KALIMANTAN SELATAN;12.46;1.60;0.15;4.65;8.28
KALIMANTAN TIMUR;13.49;1.04;0.15;3.09;9.55
KALIMANTAN UTARA;12.79;4.86;1.38;13.55;9.01
SULAWESI UTARA;12.66;0.24;0.19;0.32;9.31
SULAWESI TENGAH;13.04;2.31;0.84;5.39;8.56
SULAWESI SELATAN;13.28;8.35;2.03;20.28;8.31
SULAWESI TENGGARA;13.36;5.68;1.14;16.41;8.86
GORONTALO;13.01;1.56;0.50;3.81;7.71
SULAWESI BARAT;12.48;7.21;3.16;16.77;7.76
MALUKU;13.91;0.87;0.77;1.09;9.69
MALUKU UTARA;13.56;1.32;0.41;3.62;8.96
PAPUA BARAT;12.47;2.84;1.94;5.55;9.57
PAPUA;10.54;26.11;24.66;30.46;6.48
;;;;;8.42
